id,name,description,extended_description,common_consequences_scope,common_consequences_impact,Clean_Description,Access_Control,Integrity
153,Improper Neutralization of Substitution Characters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as substitution characters when they are sent to a downstream component.",,Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted substitution characters sent downstream component,0,1
154,Improper Neutralization of Variable Name Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as variable name delimiters when they are sent to a downstream component.","As data is parsed, an injected delimiter may cause the process to take unexpected actions that result in an attack. Example: ""$"" for an environment variable.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted variable delimiters sent downstream component,0,1
155,Improper Neutralization of Wildcards or Matching Symbols,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as wildcards or matching symbols when they are sent to a downstream component.","As data is parsed, an injected element may cause the process to take unexpected actions.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted wildcards matching symbols sent downstream component,0,1
156,Improper Neutralization of Whitespace,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as whitespace when they are sent to a downstream component.","This can include space, tab, etc.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted whitespace sent downstream component,0,1
157,Failure to Sanitize Paired Delimiters,"The software does not properly handle the characters that are used to mark the beginning and ending of a group of entities, such as parentheses, brackets, and braces.","
            ",Integrity,['Unexpected State'],software properly handle characters used mark beginning ending group entities parentheses brackets braces,0,1
158,Improper Neutralization of Null Byte or NUL Character,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes NUL characters or null bytes when they are sent to a downstream component.","As data is parsed, an injected NUL character or null byte may cause the software to believe the input is terminated earlier than it actually is, or otherwise cause the input to be misinterpreted. This could then be used to inject potentially dangerous input that occurs after the null byte or otherwise bypass validation routines and other protection mechanisms.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes nul characters null bytes sent downstream component,0,1
159,Improper Handling of Invalid Use of Special Elements,"The product does not properly filter, remove, quote, or otherwise manage the invalid use of special elements in user-controlled input, which could cause adverse effect on its behavior and integrity.",,Integrity,['Unexpected State'],product properly filter remove quote otherwise manage invalid use special elements usercontrolled input could cause adverse effect behavior integrity,0,1
160,Improper Neutralization of Leading Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes leading special elements that could be interpreted in unexpected ways when they are sent to a downstream component.","As data is parsed, improperly handled leading special elements may cause the process to take unexpected actions that result in an attack.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes leading special elements could interpreted unexpected ways sent downstream component,0,1
161,Improper Neutralization of Multiple Leading Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple leading special elements that could be interpreted in unexpected ways when they are sent to a downstream component.","As data is parsed, improperly handled multiple leading special elements may cause the process to take unexpected actions that result in an attack.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes multiple leading special elements could interpreted unexpected ways sent downstream component,0,1
162,Improper Neutralization of Trailing Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes trailing special elements that could be interpreted in unexpected ways when they are sent to a downstream component.","As data is parsed, improperly handled trailing special elements may cause the process to take unexpected actions that result in an attack.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes trailing special elements could interpreted unexpected ways sent downstream component,0,1
163,Improper Neutralization of Multiple Trailing Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple trailing special elements that could be interpreted in unexpected ways when they are sent to a downstream component.","As data is parsed, improperly handled multiple trailing special elements may cause the process to take unexpected actions that result in an attack.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes multiple trailing special elements could interpreted unexpected ways sent downstream component,0,1
164,Improper Neutralization of Internal Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component.","As data is parsed, improperly handled internal special elements may cause the process to take unexpected actions that result in an attack.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes internal special elements could interpreted unexpected ways sent downstream component,0,1
165,Improper Neutralization of Multiple Internal Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component.","As data is parsed, improperly handled multiple internal special elements may cause the process to take unexpected actions that result in an attack.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes multiple internal special elements could interpreted unexpected ways sent downstream component,0,1
167,Improper Handling of Additional Special Element,"The software receives input from an upstream component, but it does not handle or incorrectly handles when an additional unexpected special element is provided.",,Integrity,['Unexpected State'],software receives input upstream component handle incorrectly handles additional unexpected special element provided,0,1
172,Encoding Error,"The software does not properly encode or decode the data, resulting in unexpected values.",,Integrity,['Unexpected State'],software properly encode decode data resulting unexpected values,0,1
173,Improper Handling of Alternate Encoding,The software does not properly handle when an input uses an alternate encoding that is valid for the control sphere to which the input is being sent.,,Access Control,['Bypass Protection Mechanism'],software properly handle input uses alternate encoding valid control sphere input sent,1,0
175,Improper Handling of Mixed Encoding,The software does not properly handle when the same input uses several different (mixed) encodings.,,Integrity,['Unexpected State'],software properly handle input uses several different mixed encodings,0,1
176,Improper Handling of Unicode Encoding,The software does not properly handle when an input contains Unicode encoding.,,Integrity,['Unexpected State'],software properly handle input contains unicode encoding,0,1
177,Improper Handling of URL Encoding (Hex Encoding),The software does not properly handle when all or part of an input has been URL encoded.,,Integrity,['Unexpected State'],software properly handle part input url encoded,0,1
178,Improper Handling of Case Sensitivity,"The software does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results.","
            ",Access Control,['Bypass Protection Mechanism'],software properly account differences case sensitivity accessing determining properties resource leading inconsistent results,1,0
180,Incorrect Behavior Order: Validate Before Canonicalize,"The software validates input before it is canonicalized, which prevents the software from detecting data that becomes invalid after the canonicalization step.","This can be used by an attacker to bypass the validation and launch attacks that expose weaknesses that would otherwise be prevented, such as injection.",Access Control,['Bypass Protection Mechanism'],software validates input canonicalized prevents software detecting data becomes invalid canonicalization step,1,0
181,Incorrect Behavior Order: Validate Before Filter,"The software validates data before it has been filtered, which prevents the software from detecting data that becomes invalid after the filtering step.","This can be used by an attacker to bypass the validation and launch attacks that expose weaknesses that would otherwise be prevented, such as injection.",Access Control,['Bypass Protection Mechanism'],software validates data filtered prevents software detecting data becomes invalid filtering step,1,0
182,Collapse of Data into Unsafe Value,"The software filters data in a way that causes it to be reduced or ""collapsed"" into an unsafe value that violates an expected security property.",,Access Control,['Bypass Protection Mechanism'],software filters data way causes reduced collapsed unsafe value violates expected security property,1,0
183,Permissive List of Allowed Inputs,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are explicitly allowed by policy because the inputs are assumed to be safe, but the list is too permissive - that is, it allows an input that is unsafe, leading to resultant weaknesses.",,Access Control,['Bypass Protection Mechanism'],product implements protection mechanism relies list inputs properties inputs explicitly allowed policy inputs assumed safe list permissive allows input unsafe leading resultant weaknesses,1,0
184,Incomplete List of Disallowed Inputs,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are not allowed by policy or otherwise require other action to neutralize before additional processing takes place, but the list is incomplete, leading to resultant weaknesses.","Developers often try to protect their products against malicious input by performing tests against inputs that are known to be bad, such as special characters that can invoke new commands.  However, such lists often only account for the most well-known bad inputs. Attackers may be able to find other malicious inputs that were not expected by the developer, allowing them to bypass the intended protection mechanism.",Access Control,['Bypass Protection Mechanism'],product implements protection mechanism relies list inputs properties inputs allowed policy otherwise require action neutralize additional processing takes place list incomplete leading resultant weaknesses,1,0
186,Overly Restrictive Regular Expression,"A regular expression is overly restrictive, which prevents dangerous values from being detected.","This weakness is not about regular expression complexity. Rather, it is about a regular expression that does not match all values that are intended. Consider the use of a regexp to identify acceptable values or to spot unwanted terms. An overly restrictive regexp misses some potentially security-relevant values leading to either false positives *or* false negatives, depending on how the regexp is being used within the code. Consider the expression /[0-8]/ where the intention was /[0-9]/.  This expression is not ""complex"" but the value ""9"" is not matched when maybe the programmer planned to check for it.",Access Control,['Bypass Protection Mechanism'],regular expression overly restrictive prevents dangerous values detected,1,0
195,Signed to Unsigned Conversion Error,"The software uses a signed primitive and performs a cast to an unsigned primitive, which can produce an unexpected value if the value of the signed primitive can not be represented using an unsigned primitive.","
            ",Integrity,['Unexpected State'],software uses signed primitive performs cast unsigned primitive produce unexpected value value signed primitive represented using unsigned primitive,0,1
197,Numeric Truncation Error,Truncation errors occur when a primitive is cast to a primitive of a smaller size and data is lost in the conversion.,"When a primitive is cast to a smaller primitive, the high order bits of the large value are lost in the conversion, potentially resulting in an unexpected value that is not equal to the original value. This value may be required as an index into a buffer, a loop iterator, or simply necessary state data. In any case, the value cannot be trusted and the system will be in an undefined state. While this method may be employed viably to isolate the low bits of a value, this usage is rare, and truncation usually implies that an implementation error has occurred.",Integrity,['Modify Memory'],truncation errors occur primitive cast primitive smaller size data lost conversion,0,1
198,Use of Incorrect Byte Ordering,"The software receives input from an upstream component, but it does not account for byte ordering (e.g. big-endian and little-endian) when processing the input, causing an incorrect number or value to be used.",,Integrity,['Unexpected State'],software receives input upstream component account byte ordering bigendian littleendian processing input causing incorrect number value used,0,1
229,Improper Handling of Values,"The software does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined.",,Integrity,['Unexpected State'],software properly handle expected number values parameters fields arguments provided input values undefined,0,1
230,Improper Handling of Missing Values,"The software does not handle or incorrectly handles when a parameter, field, or argument name is specified, but the associated value is missing, i.e. it is empty, blank, or null.",,Integrity,['Unexpected State'],software handle incorrectly handles parameter field argument specified associated value missing ie empty blank null,0,1
231,Improper Handling of Extra Values,The software does not handle or incorrectly handles when more values are provided than expected.,,Integrity,['Unexpected State'],software handle incorrectly handles values provided expected,0,1
232,Improper Handling of Undefined Values,"The software does not handle or incorrectly handles when a value is not defined or supported for the associated parameter, field, or argument name.",,Integrity,['Unexpected State'],software handle incorrectly handles value defined supported associated parameter field argument,0,1
233,Improper Handling of Parameters,"The software does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined.",,Integrity,['Unexpected State'],software properly handle expected number parameters fields arguments provided input parameters undefined,0,1
235,Improper Handling of Extra Parameters,"The software does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount.",,Integrity,['Unexpected State'],software handle incorrectly handles number parameters fields arguments exceeds expected amount,0,1
236,Improper Handling of Undefined Parameters,"The software does not handle or incorrectly handles when a particular parameter, field, or argument name is not defined or supported by the product.",,Integrity,['Unexpected State'],software handle incorrectly handles particular parameter field argument defined supported product,0,1
237,Improper Handling of Structural Elements,The software does not handle or incorrectly handles inputs that are related to complex structures.,,Integrity,['Unexpected State'],software handle incorrectly handles inputs related complex structures,0,1
238,Improper Handling of Incomplete Structural Elements,The software does not handle or incorrectly handles when a particular structural element is not completely specified.,,Integrity,['Unexpected State'],software handle incorrectly handles particular structural element completely specified,0,1
256,Unprotected Storage of Credentials,Storing a password in plaintext may result in a system compromise.,Password management issues occur when a password is stored in plaintext in an application's properties or configuration file. Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource.,Access Control,['Gain Privileges or Assume Identity'],storing password plaintext may result system compromise,1,0
258,Empty Password in Configuration File,Using an empty string as a password is insecure.,,Access Control,['Gain Privileges or Assume Identity'],using empty string password insecure,1,0
259,Use of Hard-coded Password,"The software contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.","
            ",Access Control,['Gain Privileges or Assume Identity'],software contains hardcoded password uses inbound authentication outbound communication external components,1,0
260,Password in Configuration File,The software stores a password in a configuration file that might be accessible to actors who do not know the password.,"This can result in compromise of the system for which the password is used. An attacker could gain access to this file and learn the stored password or worse yet, change the password to one of their choosing.",Access Control,['Gain Privileges or Assume Identity'],software stores password configuration file might accessible actors know password,1,0
261,Weak Encoding for Password,Obscuring a password with a trivial encoding does not protect the password.,"Password management issues occur when a password is stored in plaintext in an application's properties or configuration file. A programmer can attempt to remedy the password management problem by obscuring the password with an encoding function, such as base 64 encoding, but this effort does not adequately protect the password.",Access Control,['Gain Privileges or Assume Identity'],obscuring password trivial encoding protect password,1,0
262,Not Using Password Aging,"If no mechanism is in place for managing password aging, users will have no incentive to update passwords in a timely manner.","Security experts have often recommended that users change their passwords regularly and avoid reusing passwords. Although this can be an effective mitigation, if the expiration window is too short, it can cause users to generate poor or predictable passwords. As such, it is important to discourage creating similar passwords. It is also useful to have a password aging mechanism that notifies users when passwords are considered old and requests that they replace them with new, strong passwords. Companion documentation which stresses how important this practice is can help users understand and better support this approach.",Access Control,['Gain Privileges or Assume Identity'],mechanism place managing password aging users incentive update passwords timely manner,1,0
263,Password Aging with Long Expiration,Allowing password aging to occur unchecked can result in the possibility of diminished password integrity.,"Just as neglecting to include functionality for the management of password aging is dangerous, so is allowing password aging to continue unchecked. Passwords must be given a maximum life span, after which a user is required to update with a new and different password.",Access Control,['Gain Privileges or Assume Identity'],allowing password aging occur unchecked result possibility diminished password integrity,1,0
266,Incorrect Privilege Assignment,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor.",,Access Control,['Gain Privileges or Assume Identity'],product incorrectly assigns privilege particular actor creating unintended sphere control actor,1,0
267,Privilege Defined With Unsafe Actions,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity.",,Access Control,['Gain Privileges or Assume Identity'],particular privilege role capability right used perform unsafe actions intended even assigned correct entity,1,0
268,Privilege Chaining,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.",,Access Control,['Gain Privileges or Assume Identity'],two distinct privileges roles capabilities rights combined way allows entity perform unsafe actions would allowed without combination,1,0
269,Improper Privilege Management,"The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor.",,Access Control,['Gain Privileges or Assume Identity'],software properly assign modify track check privileges actor creating unintended sphere control actor,1,0
270,Privilege Context Switching Error,The software does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.,,Access Control,['Gain Privileges or Assume Identity'],software properly manage privileges switching different contexts different privileges spheres control,1,0
282,Improper Ownership Management,"The software assigns the wrong ownership, or does not properly verify the ownership, of an object or resource.",,Access Control,['Gain Privileges or Assume Identity'],software assigns wrong ownership properly verify ownership object resource,1,0
283,Unverified Ownership,The software does not properly verify that a critical resource is owned by the proper entity.,,Access Control,['Gain Privileges or Assume Identity'],software properly verify critical resource owned proper entity,1,0
288,Authentication Bypass Using an Alternate Path or Channel,"A product requires authentication, but the product has an alternate path or channel that does not require authentication.",,Access Control,['Bypass Protection Mechanism'],product requires authentication product alternate path channel require authentication,1,0
289,Authentication Bypass by Alternate Name,"The software performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.",,Access Control,['Bypass Protection Mechanism'],software performs authentication based resource accessed actor performing access properly check possible names resource actor,1,0
290,Authentication Bypass by Spoofing,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks.,,Access Control,"['Bypass Protection Mechanism', 'Gain Privileges or Assume Identity']",attackfocused weakness caused improperly implemented authentication schemes subject spoofing attacks,1,0
293,Using Referer Field for Authentication,"The referer field in HTTP requests can be easily modified and, as such, is not a valid means of message integrity checking.",,Access Control,['Gain Privileges or Assume Identity'],referer field http requests easily modified valid means message integrity checking,1,0
294,Authentication Bypass by Capture-replay,A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).,"Capture-replay attacks are common and can be difficult to defeat without cryptography. They are a subset of network injection attacks that rely on observing previously-sent valid commands, then changing them slightly if necessary and resending the same commands to the server.",Access Control,['Gain Privileges or Assume Identity'],capturereplay flaw exists design software makes possible malicious user sniff network traffic bypass authentication replaying server question effect original message minor changes,1,0
301,Reflection Attack in an Authentication Protocol,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.,"A mutual authentication protocol requires each party to respond to a random challenge by the other party by encrypting it with a pre-shared key. Often, however, such protocols employ the same pre-shared key for communication with a number of different entities. A malicious user or an attacker can easily compromise this protocol without possessing the correct key by employing a reflection attack on the protocol.",Access Control,['Gain Privileges or Assume Identity'],simple authentication protocols subject reflection attacks malicious user use target machine impersonate trusted user,1,0
302,Authentication Bypass by Assumed-Immutable Data,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker.",,Access Control,['Bypass Protection Mechanism'],authentication scheme implementation uses key data elements assumed immutable controlled modified attacker,1,0
303,Incorrect Implementation of Authentication Algorithm,"The requirements for the software dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect.",This incorrect implementation may allow authentication to be bypassed.,Access Control,['Bypass Protection Mechanism'],requirements software dictate use established authentication algorithm implementation algorithm incorrect,1,0
305,Authentication Bypass by Primary Weakness,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error.",,Access Control,['Bypass Protection Mechanism'],authentication algorithm sound implemented mechanism bypassed result separate weakness primary authentication error,1,0
307,Improper Restriction of Excessive Authentication Attempts,"The software does not implement sufficient measures to prevent multiple failed authentication attempts within in a short time frame, making it more susceptible to brute force attacks.",,Access Control,['Bypass Protection Mechanism'],software implement sufficient measures prevent multiple failed authentication attempts within short time frame making susceptible brute force attacks,1,0
308,Use of Single-factor Authentication,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.,"While the use of multiple authentication schemes is simply piling on more complexity on top of authentication, it is inestimably valuable to have such measures of redundancy. The use of weak, reused, and common passwords is rampant on the internet. Without the added protection of multiple authentication schemes, a single mistake can result in the compromise of an account. For this reason, if multiple schemes are possible and also easy to use, they should be implemented and required.",Access Control,['Bypass Protection Mechanism'],use singlefactor authentication lead unnecessary risk compromise compared benefits dualfactor authentication scheme,1,0
309,Use of Password System for Primary Authentication,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism.",,Access Control,"['Bypass Protection Mechanism', 'Gain Privileges or Assume Identity']",use password systems primary means authentication may subject several flaws shortcomings reducing effectiveness mechanism,1,0
321,Use of Hard-coded Cryptographic Key,The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.,,Access Control,"['Bypass Protection Mechanism', 'Gain Privileges or Assume Identity']",use hardcoded cryptographic key significantly increases possibility encrypted data may recovered,1,0
323,"Reusing a Nonce, Key Pair in Encryption",Nonces should be used for the present occasion and only once.,,Access Control,"['Bypass Protection Mechanism', 'Gain Privileges or Assume Identity']",nonces used present occasion,1,0
324,Use of a Key Past its Expiration Date,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key.","While the expiration of keys does not necessarily ensure that they are compromised, it is a significant concern that keys which remain in use for prolonged periods of time have a decreasing probability of integrity. For this reason, it is important to replace keys within a period of time proportional to their strength.",Access Control,"['Bypass Protection Mechanism', 'Gain Privileges or Assume Identity']",product uses cryptographic key password past expiration date diminishes safety significantly increasing timing window cracking attacks key,1,0
328,Reversible One-Way Hash,"The product uses a hashing algorithm that produces a hash value that can be used to determine the original input, or to find an input that can produce the same hash, more efficiently than brute force techniques.","This weakness is especially dangerous when the hash is used in security algorithms that require the one-way property to hold. For example, if an authentication system takes an incoming password and generates a hash, then compares the hash to another hash that it has stored in its authentication database, then the ability to create a collision could allow an attacker to provide an alternate password that produces the same target hash, bypassing authentication.",Access Control,['Bypass Protection Mechanism'],product uses hashing algorithm produces hash value used determine original input find input produce hash efficiently brute force techniques,1,0
